Date,Sector,State,Number of Records,Values
01-01-2004,Political:Total Persons involved in corruption,Goa,1,0
01-01-2004,Political:Total Persons involved in corruption,Gujarat,1,263
01-01-2004,Political:Total Persons involved in corruption,Haryana,1,283
01-01-2004,Political:Total Persons involved in corruption,Himachal Pradesh,1,46
01-01-2004,Political:Total Persons involved in corruption,Jammu and Kashmir,1,49
01-01-2004,Political:Total Persons involved in corruption,Jharkhand,1,1
01-01-2004,Political:Total Persons involved in corruption,Karnataka,1,98
01-01-2004,Political:Total Persons involved in corruption,Kerala,1,337
01-01-2004,Political:Total Persons involved in corruption,Lakshadweep,1,0
01-01-2004,Political:Total Persons involved in corruption,Madhya Pradesh,1,129
01-01-2004,Political:Total Persons involved in corruption,Maharashtra,1,653
01-01-2004,Political:Total Persons involved in corruption,Manipur,1,1
01-01-2004,Political:Total Persons involved in corruption,Meghalaya,1,0
01-01-2004,Political:Total Persons involved in corruption,Mizoram,1,0
01-01-2004,Political:Total Persons involved in corruption,Nagaland,1,247
01-01-2004,Political:Total Persons involved in corruption,Odisha,1,631
01-01-2004,Political:Total Persons involved in corruption,Puducherry,1,0
01-01-2004,Political:Total Persons involved in corruption,Punjab,1,685
01-01-2004,Political:Total Persons involved in corruption,Rajasthan,1,10
01-01-2004,Political:Total Persons involved in corruption,Sikkim,1,40
01-01-2004,Political:Total Persons involved in corruption,Tamil Nadu,1,155
01-01-2004,Political:Total Persons involved in corruption,Telangana,1,153
01-01-2004,Political:Total Persons involved in corruption,Tripura,1,0
01-01-2004,Political:Total Persons involved in corruption,Uttar Pradesh,1,129
01-01-2004,Political:Total Persons involved in corruption,Uttarakhand,1,1
01-01-2004,Political:Total Persons involved in corruption,West Bengal,1,0
01-01-2005,Demographic:Poverty(% of Persons ),Andaman & Nicobar Islands,1,3
01-01-2005,Demographic:Poverty(% of Persons ),Andhra Pradesh,1,29.6
01-01-2005,Demographic:Poverty(% of Persons ),Arunachal Pradesh,1,31.4
01-01-2005,Demographic:Poverty(% of Persons ),Assam,1,34.4
01-01-2005,Demographic:Poverty(% of Persons ),Bihar,1,54.4
01-01-2005,Demographic:Poverty(% of Persons ),Chandigarh,1,11.6
01-01-2005,Demographic:Poverty(% of Persons ),Chhattisgarh,1,49.4
01-01-2005,Demographic:Poverty(% of Persons ),Delhi,1,13
01-01-2005,Demographic:Poverty(% of Persons ),Goa,1,24.9
01-01-2005,Demographic:Poverty(% of Persons ),Gujarat,1,31.6
01-01-2005,Demographic:Poverty(% of Persons ),Haryana,1,24.1
01-01-2005,Demographic:Poverty(% of Persons ),Himachal Pradesh,1,22.9
01-01-2005,Demographic:Poverty(% of Persons ),Jammu and Kashmir,1,13.1
01-01-2005,Demographic:Poverty(% of Persons ),Jharkhand,1,45.3
01-01-2005,Demographic:Poverty(% of Persons ),Karnataka,1,33.3
01-01-2005,Demographic:Poverty(% of Persons ),Kerala,1,19.6
01-01-2005,Demographic:Poverty(% of Persons ),Madhya Pradesh,1,48.6
01-01-2005,Demographic:Poverty(% of Persons ),Maharashtra,1,38.2
01-01-2005,Demographic:Poverty(% of Persons ),Manipur,1,37.9
01-01-2005,Demographic:Poverty(% of Persons ),Meghalaya,1,16.1
01-01-2005,Demographic:Poverty(% of Persons ),Mizoram,1,15.4
01-01-2005,Demographic:Poverty(% of Persons ),Nagaland,1,8.8
01-01-2005,Demographic:Poverty(% of Persons ),Odisha,1,57.2
01-01-2005,Demographic:Poverty(% of Persons ),Puducherry,1,14.2
01-01-2005,Demographic:Poverty(% of Persons ),Punjab,1,20.9
01-01-2005,Demographic:Poverty(% of Persons ),Rajasthan,1,34.4
01-01-2005,Demographic:Poverty(% of Persons ),Sikkim,1,30.9
01-01-2005,Demographic:Poverty(% of Persons ),Tamil Nadu,1,29.4
01-01-2005,Demographic:Poverty(% of Persons ),Telangana,1,29.6
01-01-2005,Demographic:Poverty(% of Persons ),Tripura,1,40
01-01-2005,Demographic:Poverty(% of Persons ),Uttar Pradesh,1,40.9
01-01-2005,Demographic:Poverty(% of Persons ),Uttarakhand,1,32.7
01-01-2005,Demographic:Poverty(% of Persons ),West Bengal,1,34.2
01-01-2005,Economic:GDP in crore,Andaman & Nicobar Islands,1,2083.09
01-01-2005,Economic:GDP in crore,Andhra Pradesh,1,244411.72
01-01-2005,Economic:GDP in crore,Arunachal Pradesh,1,4142.02
01-01-2005,Economic:GDP in crore,Assam,1,59138.85
01-01-2005,Economic:GDP in crore,Bihar,1,118032.39
01-01-2005,Economic:GDP in crore,Chandigarh,1,8911.55
01-01-2005,Economic:GDP in crore,Chhattisgarh,1,58161.83
01-01-2005,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2005,Economic:GDP in crore,Daman & Diu,1,0
01-01-2005,Economic:GDP in crore,Delhi,1,188353.08
01-01-2005,Economic:GDP in crore,Goa,1,15974.1
01-01-2005,Economic:GDP in crore,Gujarat,1,233544
01-01-2005,Economic:GDP in crore,Haryana,1,112424.75
01-01-2005,Economic:GDP in crore,Himachal Pradesh,1,28949.5
01-01-2005,Economic:GDP in crore,Jammu and Kashmir,1,39607.35
01-01-2005,Economic:GDP in crore,Jharkhand,1,79904.77
01-01-2005,Economic:GDP in crore,Karnataka,1,189452.26
01-01-2005,Economic:GDP in crore,Kerala,1,192298.95
01-01-2005,Economic:GDP in crore,Lakshadweep,1,0
01-01-2005,Economic:GDP in crore,Madhya Pradesh,1,124738.22
01-01-2005,Economic:GDP in crore,Maharashtra,1,468949.71
01-01-2005,Economic:GDP in crore,Manipur,1,6300.26
01-01-2005,Economic:GDP in crore,Meghalaya,1,7292.14
01-01-2005,Economic:GDP in crore,Mizoram,1,4210.15
01-01-2005,Economic:GDP in crore,Nagaland,1,8900.43
01-01-2005,Economic:GDP in crore,Odisha,1,88677.8
01-01-2005,Economic:GDP in crore,Puducherry,1,12477.7
01-01-2005,Economic:GDP in crore,Punjab,1,105914.81
01-01-2005,Economic:GDP in crore,Rajasthan,1,144686.95
01-01-2005,Economic:GDP in crore,Sikkim,1,1941.87
01-01-2005,Economic:GDP in crore,Tamil Nadu,1,364725.98
01-01-2005,Economic:GDP in crore,Telangana,1,244411.72
01-01-2005,Economic:GDP in crore,Tripura,1,14208.94
01-01-2005,Economic:GDP in crore,Uttar Pradesh,1,280964.16
01-01-2005,Economic:GDP in crore,Uttarakhand,1,28263.27
01-01-2005,Economic:GDP in crore,West Bengal,1,332577.56
01-01-2005,Political:Total Persons involved in corruption,Andaman & Nicobar Islands,1,1
01-01-2005,Political:Total Persons involved in corruption,Andhra Pradesh,1,168
01-01-2005,Political:Total Persons involved in corruption,Arunachal Pradesh,1,0
01-01-2005,Political:Total Persons involved in corruption,Assam,1,12
01-01-2005,Political:Total Persons involved in corruption,Bihar,1,80
01-01-2005,Political:Total Persons involved in corruption,Chandigarh,1,9
01-01-2005,Political:Total Persons involved in corruption,Chhattisgarh,1,39
01-01-2005,Political:Total Persons involved in corruption,Dadra & Nagar Haveli,1,0
01-01-2005,Political:Total Persons involved in corruption,Daman & Diu,1,0
01-01-2005,Political:Total Persons involved in corruption,Delhi,1,102
01-01-2005,Political:Total Persons involved in corruption,Goa,1,1
01-01-2005,Political:Total Persons involved in corruption,Gujarat,1,271
01-01-2005,Political:Total Persons involved in corruption,Haryana,1,243
01-01-2005,Political:Total Persons involved in corruption,Himachal Pradesh,1,67
01-01-2005,Political:Total Persons involved in corruption,Jammu and Kashmir,1,133
01-01-2005,Political:Total Persons involved in corruption,Jharkhand,1,15
01-01-2005,Political:Total Persons involved in corruption,Karnataka,1,340
01-01-2005,Political:Total Persons involved in corruption,Kerala,1,104
01-01-2005,Political:Total Persons involved in corruption,Lakshadweep,1,0
01-01-2005,Political:Total Persons involved in corruption,Madhya Pradesh,1,41
01-01-2005,Political:Total Persons involved in corruption,Maharashtra,1,605
01-01-2005,Political:Total Persons involved in corruption,Manipur,1,14
01-01-2005,Political:Total Persons involved in corruption,Meghalaya,1,2
01-01-2005,Political:Total Persons involved in corruption,Mizoram,1,2
01-01-2005,Political:Total Persons involved in corruption,Nagaland,1,41
01-01-2005,Political:Total Persons involved in corruption,Odisha,1,594
01-01-2005,Political:Total Persons involved in corruption,Puducherry,1,1
01-01-2005,Political:Total Persons involved in corruption,Punjab,1,767
01-01-2005,Political:Total Persons involved in corruption,Rajasthan,1,0
01-01-2005,Political:Total Persons involved in corruption,Sikkim,1,44
01-01-2005,Political:Total Persons involved in corruption,Tamil Nadu,1,237
01-01-2005,Political:Total Persons involved in corruption,Telangana,1,168
01-01-2005,Political:Total Persons involved in corruption,Tripura,1,0
01-01-2005,Political:Total Persons involved in corruption,Uttar Pradesh,1,96
01-01-2005,Political:Total Persons involved in corruption,Uttarakhand,1,0
01-01-2005,Political:Total Persons involved in corruption,West Bengal,1,0
01-01-2006,Demographic:Poverty(% of Persons ),Andaman & Nicobar Islands,1,1.7
01-01-2006,Demographic:Poverty(% of Persons ),Andhra Pradesh,1,25.35
01-01-2006,Demographic:Poverty(% of Persons ),Arunachal Pradesh,1,28.65
01-01-2006,Demographic:Poverty(% of Persons ),Assam,1,36.15
01-01-2006,Demographic:Poverty(% of Persons ),Bihar,1,53.95
01-01-2006,Demographic:Poverty(% of Persons ),Chandigarh,1,10.4
01-01-2006,Demographic:Poverty(% of Persons ),Chhattisgarh,1,49.05
01-01-2006,Demographic:Poverty(% of Persons ),Delhi,1,13.6
01-01-2006,Demographic:Poverty(% of Persons ),Goa,1,16.8
01-01-2006,Demographic:Poverty(% of Persons ),Gujarat,1,27.3
01-01-2006,Demographic:Poverty(% of Persons ),Haryana,1,22.1
01-01-2006,Demographic:Poverty(% of Persons ),Himachal Pradesh,1,16.2
01-01-2006,Demographic:Poverty(% of Persons ),Jammu and Kashmir,1,11.25
01-01-2006,Demographic:Poverty(% of Persons ),Jharkhand,1,42.2
01-01-2006,Demographic:Poverty(% of Persons ),Karnataka,1,28.45
01-01-2006,Demographic:Poverty(% of Persons ),Kerala,1,15.8
01-01-2006,Demographic:Poverty(% of Persons ),Madhya Pradesh,1,42.65
01-01-2006,Demographic:Poverty(% of Persons ),Maharashtra,1,31.35
01-01-2006,Demographic:Poverty(% of Persons ),Manipur,1,42.5
01-01-2006,Demographic:Poverty(% of Persons ),Meghalaya,1,16.6
01-01-2006,Demographic:Poverty(% of Persons ),Mizoram,1,18.25
01-01-2006,Demographic:Poverty(% of Persons ),Nagaland,1,14.85
01-01-2006,Demographic:Poverty(% of Persons ),Odisha,1,47.1
01-01-2006,Demographic:Poverty(% of Persons ),Puducherry,1,7.7
01-01-2006,Demographic:Poverty(% of Persons ),Punjab,1,18.4
01-01-2006,Demographic:Poverty(% of Persons ),Rajasthan,1,29.6
01-01-2006,Demographic:Poverty(% of Persons ),Sikkim,1,22
01-01-2006,Demographic:Poverty(% of Persons ),Tamil Nadu,1,23.25
01-01-2006,Demographic:Poverty(% of Persons ),Telangana,1,25.35
01-01-2006,Demographic:Poverty(% of Persons ),Tripura,1,28.7
01-01-2006,Demographic:Poverty(% of Persons ),Uttar Pradesh,1,39.3
01-01-2006,Demographic:Poverty(% of Persons ),Uttarakhand,1,25.35
01-01-2006,Demographic:Poverty(% of Persons ),West Bengal,1,30.45
01-01-2006,Economic:GDP in crore,Andaman & Nicobar Islands,1,2263.79
01-01-2006,Economic:GDP in crore,Andhra Pradesh,1,268602.58
01-01-2006,Economic:GDP in crore,Arunachal Pradesh,1,4285.45
01-01-2006,Economic:GDP in crore,Assam,1,59952.67
01-01-2006,Economic:GDP in crore,Bihar,1,118901.75
01-01-2006,Economic:GDP in crore,Chandigarh,1,9849.41
01-01-2006,Economic:GDP in crore,Chhattisgarh,1,57341.94
01-01-2006,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2006,Economic:GDP in crore,Daman & Diu,1,0
01-01-2006,Economic:GDP in crore,Delhi,1,207903.85
01-01-2006,Economic:GDP in crore,Goa,1,17239.24
01-01-2006,Economic:GDP in crore,Gujarat,1,266112
01-01-2006,Economic:GDP in crore,Haryana,1,122387.31
01-01-2006,Economic:GDP in crore,Himachal Pradesh,1,31401.77
01-01-2006,Economic:GDP in crore,Jammu and Kashmir,1,41785.26
01-01-2006,Economic:GDP in crore,Jharkhand,1,73357.55
01-01-2006,Economic:GDP in crore,Karnataka,1,207400.77
01-01-2006,Economic:GDP in crore,Kerala,1,213116.62
01-01-2006,Economic:GDP in crore,Lakshadweep,1,0
01-01-2006,Economic:GDP in crore,Madhya Pradesh,1,130795.58
01-01-2006,Economic:GDP in crore,Maharashtra,1,545906.55
01-01-2006,Economic:GDP in crore,Manipur,1,6737.05
01-01-2006,Economic:GDP in crore,Meghalaya,1,7876.45
01-01-2006,Economic:GDP in crore,Mizoram,1,4557.52
01-01-2006,Economic:GDP in crore,Nagaland,1,9976.46
01-01-2006,Economic:GDP in crore,Odisha,1,91193.92
01-01-2006,Economic:GDP in crore,Puducherry,1,12927.86
01-01-2006,Economic:GDP in crore,Punjab,1,111997.14
01-01-2006,Economic:GDP in crore,Rajasthan,1,155378.12
01-01-2006,Economic:GDP in crore,Sikkim,1,2152
01-01-2006,Economic:GDP in crore,Tamil Nadu,1,417583.07
01-01-2006,Economic:GDP in crore,Telangana,1,268602.58
01-01-2006,Economic:GDP in crore,Tripura,1,15224.71
01-01-2006,Economic:GDP in crore,Uttar Pradesh,1,299115.17
01-01-2006,Economic:GDP in crore,Uttarakhand,1,33077.3
01-01-2006,Economic:GDP in crore,West Bengal,1,355493.72
01-01-2006,Political:Total Persons involved in corruption,Andaman & Nicobar Islands,1,0
01-01-2006,Political:Total Persons involved in corruption,Andhra Pradesh,1,173
01-01-2006,Political:Total Persons involved in corruption,Arunachal Pradesh,1,0
01-01-2006,Political:Total Persons involved in corruption,Assam,1,3
01-01-2006,Political:Total Persons involved in corruption,Bihar,1,259
01-01-2006,Political:Total Persons involved in corruption,Chandigarh,1,17
01-01-2006,Political:Total Persons involved in corruption,Chhattisgarh,1,50
01-01-2006,Political:Total Persons involved in corruption,Dadra & Nagar Haveli,1,0
01-01-2006,Political:Total Persons involved in corruption,Daman & Diu,1,0
01-01-2006,Political:Total Persons involved in corruption,Delhi,1,116
01-01-2006,Political:Total Persons involved in corruption,Goa,1,2
01-01-2006,Political:Total Persons involved in corruption,Gujarat,1,178
01-01-2006,Political:Total Persons involved in corruption,Haryana,1,424
01-01-2006,Political:Total Persons involved in corruption,Himachal Pradesh,1,39
01-01-2006,Political:Total Persons involved in corruption,Jammu and Kashmir,1,69
01-01-2006,Political:Total Persons involved in corruption,Jharkhand,1,28
01-01-2006,Political:Total Persons involved in corruption,Karnataka,1,318
01-01-2006,Political:Total Persons involved in corruption,Kerala,1,334
01-01-2006,Political:Total Persons involved in corruption,Lakshadweep,1,0
01-01-2006,Political:Total Persons involved in corruption,Madhya Pradesh,1,186
01-01-2006,Political:Total Persons involved in corruption,Maharashtra,1,645
01-01-2006,Political:Total Persons involved in corruption,Manipur,1,1
01-01-2006,Political:Total Persons involved in corruption,Meghalaya,1,0
01-01-2006,Political:Total Persons involved in corruption,Mizoram,1,6
01-01-2006,Political:Total Persons involved in corruption,Nagaland,1,0
01-01-2006,Political:Total Persons involved in corruption,Odisha,1,456
01-01-2006,Political:Total Persons involved in corruption,Puducherry,1,8
01-01-2006,Political:Total Persons involved in corruption,Punjab,1,384
01-01-2006,Political:Total Persons involved in corruption,Rajasthan,1,26
01-01-2006,Political:Total Persons involved in corruption,Sikkim,1,49
01-01-2006,Political:Total Persons involved in corruption,Tamil Nadu,1,135
01-01-2006,Political:Total Persons involved in corruption,Telangana,1,173
01-01-2006,Political:Total Persons involved in corruption,Tripura,1,0
01-01-2006,Political:Total Persons involved in corruption,Uttar Pradesh,1,90
01-01-2006,Political:Total Persons involved in corruption,Uttarakhand,1,3
01-01-2006,Political:Total Persons involved in corruption,West Bengal,1,0
01-01-2007,Demographic:Poverty(% of Persons ),Andaman & Nicobar Islands,1,1.7
01-01-2007,Demographic:Poverty(% of Persons ),Andhra Pradesh,1,25.35
01-01-2007,Demographic:Poverty(% of Persons ),Arunachal Pradesh,1,28.65
01-01-2007,Demographic:Poverty(% of Persons ),Assam,1,36.15
01-01-2007,Demographic:Poverty(% of Persons ),Bihar,1,53.95
01-01-2007,Demographic:Poverty(% of Persons ),Chandigarh,1,10.4
01-01-2007,Demographic:Poverty(% of Persons ),Chhattisgarh,1,49.05
01-01-2007,Demographic:Poverty(% of Persons ),Delhi,1,13.6
01-01-2007,Demographic:Poverty(% of Persons ),Goa,1,16.8
01-01-2007,Demographic:Poverty(% of Persons ),Gujarat,1,27.3
01-01-2007,Demographic:Poverty(% of Persons ),Haryana,1,22.1
01-01-2007,Demographic:Poverty(% of Persons ),Himachal Pradesh,1,16.2
01-01-2007,Demographic:Poverty(% of Persons ),Jammu and Kashmir,1,11.25
01-01-2007,Demographic:Poverty(% of Persons ),Jharkhand,1,42.2
01-01-2007,Demographic:Poverty(% of Persons ),Karnataka,1,28.45
01-01-2007,Demographic:Poverty(% of Persons ),Kerala,1,15.8
01-01-2007,Demographic:Poverty(% of Persons ),Madhya Pradesh,1,42.65
01-01-2007,Demographic:Poverty(% of Persons ),Maharashtra,1,31.35
01-01-2007,Demographic:Poverty(% of Persons ),Manipur,1,42.5
01-01-2007,Demographic:Poverty(% of Persons ),Meghalaya,1,16.6
01-01-2007,Demographic:Poverty(% of Persons ),Mizoram,1,18.25
01-01-2007,Demographic:Poverty(% of Persons ),Nagaland,1,14.85
01-01-2007,Demographic:Poverty(% of Persons ),Odisha,1,47.1
01-01-2007,Demographic:Poverty(% of Persons ),Puducherry,1,7.7
01-01-2007,Demographic:Poverty(% of Persons ),Punjab,1,18.4
01-01-2007,Demographic:Poverty(% of Persons ),Rajasthan,1,29.6
01-01-2007,Demographic:Poverty(% of Persons ),Sikkim,1,22
01-01-2007,Demographic:Poverty(% of Persons ),Tamil Nadu,1,23.25
01-01-2007,Demographic:Poverty(% of Persons ),Telangana,1,25.35
01-01-2007,Demographic:Poverty(% of Persons ),Tripura,1,28.7
01-01-2007,Demographic:Poverty(% of Persons ),Uttar Pradesh,1,39.3
01-01-2007,Demographic:Poverty(% of Persons ),Uttarakhand,1,25.35
01-01-2007,Demographic:Poverty(% of Persons ),West Bengal,1,30.45
01-01-2007,Economic:GDP in crore,Andaman & Nicobar Islands,1,2794.3
01-01-2007,Economic:GDP in crore,Andhra Pradesh,1,300219.77
01-01-2007,Economic:GDP in crore,Arunachal Pradesh,1,4428.91
01-01-2007,Economic:GDP in crore,Assam,1,62114.65
01-01-2007,Economic:GDP in crore,Bihar,1,137218.02
01-01-2007,Economic:GDP in crore,Chandigarh,1,11605.98
01-01-2007,Economic:GDP in crore,Chhattisgarh,1,71003.04
01-01-2007,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2007,Economic:GDP in crore,Daman & Diu,1,0
01-01-2007,Economic:GDP in crore,Delhi,1,233834.06
01-01-2007,Economic:GDP in crore,Goa,1,19170.66
01-01-2007,Economic:GDP in crore,Gujarat,1,289723
01-01-2007,Economic:GDP in crore,Haryana,1,135566.83
01-01-2007,Economic:GDP in crore,Himachal Pradesh,1,34240.69
01-01-2007,Economic:GDP in crore,Jammu and Kashmir,1,44563.23
01-01-2007,Economic:GDP in crore,Jharkhand,1,72179.32
01-01-2007,Economic:GDP in crore,Karnataka,1,233149.38
01-01-2007,Economic:GDP in crore,Kerala,1,232872.41
01-01-2007,Economic:GDP in crore,Lakshadweep,1,0
01-01-2007,Economic:GDP in crore,Madhya Pradesh,1,144845.92
01-01-2007,Economic:GDP in crore,Maharashtra,1,623895.76
01-01-2007,Economic:GDP in crore,Manipur,1,6862.16
01-01-2007,Economic:GDP in crore,Meghalaya,1,8572.6
01-01-2007,Economic:GDP in crore,Mizoram,1,4789.79
01-01-2007,Economic:GDP in crore,Nagaland,1,10889.77
01-01-2007,Economic:GDP in crore,Odisha,1,104435.87
01-01-2007,Economic:GDP in crore,Puducherry,1,13981.97
01-01-2007,Economic:GDP in crore,Punjab,1,127372.94
01-01-2007,Economic:GDP in crore,Rajasthan,1,176026.08
01-01-2007,Economic:GDP in crore,Sikkim,1,2281.43
01-01-2007,Economic:GDP in crore,Tamil Nadu,1,483449.58
01-01-2007,Economic:GDP in crore,Telangana,1,300219.77
01-01-2007,Economic:GDP in crore,Tripura,1,16553.14
01-01-2007,Economic:GDP in crore,Uttar Pradesh,1,326192.05
01-01-2007,Economic:GDP in crore,Uttarakhand,1,37326.06
01-01-2007,Economic:GDP in crore,West Bengal,1,386365.02
01-01-2007,Political:Total Persons involved in corruption,Andaman & Nicobar Islands,1,0
01-01-2007,Political:Total Persons involved in corruption,Andhra Pradesh,1,154
01-01-2007,Political:Total Persons involved in corruption,Arunachal Pradesh,1,0
01-01-2007,Political:Total Persons involved in corruption,Assam,1,1
01-01-2007,Political:Total Persons involved in corruption,Bihar,1,943
01-01-2007,Political:Total Persons involved in corruption,Chandigarh,1,29
01-01-2007,Political:Total Persons involved in corruption,Chhattisgarh,1,19
01-01-2007,Political:Total Persons involved in corruption,Dadra & Nagar Haveli,1,0
01-01-2007,Political:Total Persons involved in corruption,Daman & Diu,1,0
01-01-2007,Political:Total Persons involved in corruption,Delhi,1,64
01-01-2007,Political:Total Persons involved in corruption,Goa,1,1
01-01-2007,Political:Total Persons involved in corruption,Gujarat,1,219
01-01-2007,Political:Total Persons involved in corruption,Haryana,1,202
01-01-2007,Political:Total Persons involved in corruption,Himachal Pradesh,1,265
01-01-2007,Political:Total Persons involved in corruption,Jammu and Kashmir,1,171
01-01-2007,Political:Total Persons involved in corruption,Jharkhand,1,18
01-01-2007,Political:Total Persons involved in corruption,Karnataka,1,301
01-01-2007,Political:Total Persons involved in corruption,Kerala,1,343
01-01-2007,Political:Total Persons involved in corruption,Lakshadweep,1,0
